trialnr	response	juist	reactiontime	percentagemistakes
1	1	0	664	0	0
2	2	0	65	0	0
3	4	0	92	0	0
4	3	0	40	0	0
5	4	1	1377	1	1.38888888888889
6	3	2	872	2	2.77777777777778
7	4	3	908	3	4.16666666666667
8	2	4	1219	4	5.55555555555556
9	1	4	941	4	5.55555555555556
10	2	5	2665	5	6.94444444444444
11	4	6	692	6	8.33333333333333
12	1	7	634	7	9.72222222222222
13	2	7	1062	7	9.72222222222222
14	3	8	1016	8	11.1111111111111
15	3	9	1002	9	12.5
16	1	10	682	10	13.8888888888889
17	3	10	1730	10	13.8888888888889
18	3	11	731	11	15.2777777777778
19	2	11	710	11	15.2777777777778
20	2	11	990	11	15.2777777777778
21	2	12	1220	12	16.6666666666667
