Trialnumber	Filename	Rule	Response	TotalCorrect	Reactiontime	Percentagemistakes
1	c2y	Color	2	0	393	100
2	c4g	Color	1	0	253	100
3	j1y	Color	1	0	180	100
4	b1g	Color	2	1	81	75
5	s4g	Shape	1	1	103	80
6	c4y	Shape	2	1	103	83.3333333333333
7	j4y	Shape	4	1	79	85.7142857142857
8	b2y	Shape	3	1	85	87.5
9	b3g	Number	4	1	121	88.8888888888889
10	c3b	Number	3	2	124	80
11	s4r	Number	3	2	103	81.8181818181818
12	j4r	Number	4	3	54	75
13	b3r	Shape	3	3	89	76.9230769230769
14	b1y	Shape	3	3	73	78.5714285714286
15	c2b	Shape	4	3	90	80
16	j3r	Shape	3	3	105	81.25
17	c3g	Color	4	3	107	82.3529411764706
18	s1g	Color	3	3	109	83.3333333333333
19	s2r	Color	3	3	191	84.2105263157895
20	s2b	Color	3	3	153	85
21	s1b	Number	3	3	171	85.7142857142857
22	j1b	Number	3	3	276	86.3636363636364
23	b2r	Number	3	3	265	86.9565217391304
24	j3b	Number	3	4	360	83.3333333333333
25	j3b	Color	3	4	316	84
26	c3g	Color	3	4	296	84.6153846153846
27	j4r	Color	3	4	335	85.1851851851852
28	s1g	Color	3	4	321	85.7142857142857
29	b2y	Shape	3	4	514	86.2068965517241
30	c2y	Shape	3	4	460	86.6666666666667
31	b1y	Shape	3	4	196	87.0967741935484
32	b3r	Shape	0	4	0	84.375
33	b1g	Number	3	4	15	84.8484848484848
34	j4y	Number	3	4	673	85.2941176470588
35	j1y	Number	3	4	60	85.7142857142857
36	b3g	Number	3	5	226	83.3333333333333
37	b2r	Shape	3	5	121	83.7837837837838
38	s2b	Shape	3	6	466	81.5789473684211
39	c4y	Shape	3	6	300	82.051282051282
40	j3r	Shape	3	6	283	82.5
41	c3b	Color	1	6	705	82.9268292682927
42	s2r	Color	2	6	102	83.3333333333333
43	j1b	Color	4	7	1960	81.3953488372093
44	c4g	Color	4	7	236	81.8181818181818
45	s1b	Number	3	7	122	82.2222222222222
46	s4r	Number	1	7	228	82.6086956521739
47	c2b	Number	2	8	163	80.8510638297872
48	s4g	Number	4	9	196	79.1666666666667
49	c2b	Color	3	9	208	79.5918367346939
50	j1b	Color	2	9	229	80
51	c2y	Color	4	9	372	80.3921568627451
52	s2r	Color	1	10	30	78.8461538461538
53	c3b	Shape	2	10	125	79.2452830188679
54	s4r	Shape	3	11	627	77.7777777777778
55	c3g	Shape	4	11	181	78.1818181818182
56	j4y	Shape	1	11	610	78.5714285714286
57	j4r	Number	3	11	40	78.9473684210526
58	s1g	Number	3	11	305	79.3103448275862
59	s4g	Number	3	11	266	79.6610169491525
60	b3g	Number	3	12	260	78.3333333333333
61	s2b	Shape	3	13	309	77.0491803278689
62	b2r	Shape	3	13	280	77.4193548387097
63	c4g	Shape	3	13	281	77.7777777777778
64	b3r	Shape	3	13	250	78.125
65	b1g	Color	4	13	421	78.4615384615385
66	s1b	Color	3	13	344	78.7878787878788
67	b1y	Color	3	14	367	77.6119402985075
68	b2y	Color	4	14	303	77.9411764705882
69	c4y	Number	3	14	295	78.2608695652174
70	j3r	Number	4	14	278	78.5714285714286
71	j1y	Number	3	14	265	78.8732394366197
72	j3b	Number	4	14	293	79.1666666666667
